,itemCode,yahooID,itemName,description
0,2BG23080E,forest-hideaway-plush-carved-rug-2-x-3,Forest Hideaway Plush Carved Rug - 2 x 3,"Trees, leaves and pinecones create a serene look on the printed, plush 100% nylon cut pile rugs in green, brown, tan and rust with carved details to add texture. Latex backing. Measures 1â7Â¾âW x 2â8Â¾âL. ~"
1,2PPHSV13,moose-embroidered-valance,Moose Embroidered Valance,"Exclusive - Petite, detailed embroidered moose and pine trees create a charming forest scene on the lined cotton Moose Embroidered Valance inspired by Maine artist Harry Smith.  Measures 58""W x 14""H. ~"
2,BS30170437,bs30170437,Bear Stone Finish Single Switch Cover,"Bear icons and tracks are embossed in hand-cast resin with the texture and color of natural stone on the Bear Stone Finish Single Switch Cover.  Metal screws included.  Measures 3Â¼""W x 5""H. ~"
3,CARJB1782,alpine-bear-bed-set-king,Alpine Bear Bed Set - King,"A Black Forest Decor Exclusive - Bear and pine tree appliquÃ©s, antique gold rivets and fringe add a rustic touch to the appealing olive green, faded blue and chocolate plaid microsuede Alpine Bear King Bed Set.  Includes 110""W x 96""L comforter, 76""W x 80""L x 15""H bedskirt, two 20""W x 37""L king shams and one 14""W x 26""L accent pillow.  Dry clean. ~"
4,DS13318,black-bear-wall-shelf-w-hooks,Black Bear Wall Shelf w/ Hooks,"Friendly black bears enhance your favorite accents on this wood wall shelf withÂ polyresin details and three hooks for hanging. 26 1/2""W x 4 1/2"" x 8""H"
5,DS21095,ds21095,Lone Star Fireplace Tool Set (5 pcs),"A Lone Star Western Decor Exclusive - Classic stars accented with scrollwork make the decorative and functional dark brown metal Lone Star Fireplace Tool Set the perfect western touch for your hearth.  Five piece tool set includes stand with shovel, poker, tongs and wire brush.  Dust or water clean as needed; do not oil.  Measures 10""W x 10 1/2""D x 28""H. ~"
6,DS21967,stars-and-studs-metal-single-hook,Stars & Studs Metal Single Hook,"Exclusive - Update your bath with dimensional western stars circled by raised studs on this metal hardware in dark golden brown powder coat.  Measures 6Â¼""W x 1Â½""D x 8Â½""H. ~"
7,MUMMRCRB,antler-curtain-rod-brackets-set-of-2,Antler Curtain Rod Brackets (Set of 2),"Cast from real antlers, the resin Antler Curtain Rod Brackets are meticulously finished for authenticity.  Set of two.  All hardware included.  Fits curtain rods up to 1Â½"" diameter.  Measure 1Â¼""W x 3Â½""D x 6Â½""H each. ~"
8,MUMMRHTH,faux-antler-towel-hook,Faux Antler Towel Hook,"Cast from naturally shed antlers and carefully painted for authenticity, the resin Faux Antler Towel Hook gives your bath a rugged look.  All hardware included.  Measures 12""W x 3""D x 12Â¼""H. ~"
9,MW83BFGSSOKC,southwest-expressions-tapestry-standard-sham,Southwest Expressions Tapestry Standard Sham,"Exclusive - Woven with a classic kilim design in a vintage palette of blues, reds and greens, this cotton/poly collection creates an inviting southwest space. Dry clean, machine wash coverlets and sham. Dimensions available online. Measures 20""W x 26""L. ~"
